iter	Passed	Remaining
0	4	401
1	18	903
2	21	699
3	33	814
4	49	931
5	54	853
6	65	869
7	71	819
8	73	743
9	86	778
10	88	717
11	91	668
12	107	716
13	110	676
14	116	659
15	119	624
16	120	589
17	140	639
18	142	607
19	144	578
20	147	555
21	199	707
22	201	674
23	203	643
24	205	615
25	207	591
26	209	566
27	211	543
28	213	522
29	215	502
30	217	484
31	219	466
32	222	451
33	224	435
34	226	420
35	274	487
36	276	470
37	279	455
38	281	440
39	298	448
40	301	433
41	301	416
42	304	403
43	306	390
44	308	377
45	310	364
46	312	352
47	315	341
48	317	330
49	343	343
50	345	331
51	347	320
52	350	310
53	352	300
54	354	289
55	356	279
56	359	271
57	364	264
58	367	255
59	371	247
60	373	238
61	375	230
62	377	221
63	379	213
64	392	211
65	401	206
66	404	199
67	406	191
68	408	183
69	417	178
70	419	171
71	421	164
72	433	160
73	435	153
74	442	147
75	445	140
76	447	133
77	451	127
78	453	120
79	455	113
80	458	107
81	461	101
82	463	94
83	470	89
84	471	83
85	473	77
86	475	71
87	478	65
88	480	59
89	482	53
90	485	48
91	487	42
92	489	36
93	491	31
94	492	25
95	494	20
96	496	15
97	499	10
98	502	5
99	503	0
