iter	Passed	Remaining
0	524	523499
1	525	262251
2	527	175161
3	528	131601
4	530	105622
5	532	88184
6	533	75728
7	535	66379
8	536	59121
9	538	53301
10	539	48547
11	541	44580
12	542	41222
13	545	38385
14	546	35900
15	548	33713
16	549	31786
17	551	30067
18	552	28537
19	554	27160
20	555	25908
21	557	24777
22	560	23791
23	561	22842
24	564	22033
25	566	21225
26	568	20476
27	569	19780
28	571	19137
29	574	18578
30	576	18016
31	577	17480
32	579	16978
33	580	16502
34	582	16061
35	584	15648
36	586	15255
37	588	14891
38	589	14534
39	591	14195
40	593	13871
41	594	13564
42	596	13271
43	597	12992
44	599	12727
45	601	12473
46	603	12234
47	605	12001
48	606	11777
49	608	11561
50	610	11359
51	612	11160
52	613	10965
53	618	10829
54	620	10657
55	622	10493
56	624	10334
57	626	10170
58	627	10013
59	631	9891
60	632	9743
61	634	9600
62	636	9462
63	637	9327
64	639	9197
65	641	9072
66	642	8948
67	645	8848
68	647	8734
69	648	8622
70	650	8512
71	652	8405
72	653	8302
73	655	8199
74	656	8100
75	661	8039
76	663	7950
77	664	7856
78	666	7767
79	667	7679
80	669	7594
81	670	7511
82	671	7423
83	673	7343
84	676	7283
85	678	7208
86	679	7134
87	681	7061
88	682	6989
89	684	6918
90	685	6850
91	687	6784
92	688	6719
93	692	6670
94	693	6608
95	695	6545
96	696	6484
97	697	6423
98	699	6364
99	700	6308
100	702	6252
101	703	6196
102	707	6161
103	709	6110
104	710	6060
105	713	6015
106	715	5968
107	716	5918
108	718	5869
109	719	5821
110	721	5776
111	722	5731
112	724	5687
113	726	5643
114	727	5601
115	729	5558
116	730	5514
117	732	5473
118	734	5441
119	736	5401
120	738	5361
121	739	5319
122	740	5282
123	742	5246
124	744	5210
125	745	5173
126	747	5135
127	750	5111
128	752	5077
129	753	5044
130	755	5010
131	757	4980
132	759	4948
133	760	4915
134	762	4883
135	764	4853
136	765	4824
137	767	4794
138	769	4764
139	770	4734
140	772	4705
141	773	4672
142	775	4644
143	776	4616
144	777	4587
145	781	4568
146	782	4540
147	784	4513
148	785	4487
149	787	4463
150	789	4438
151	790	4412
152	792	4387
153	795	4372
154	797	4347
155	799	4323
156	801	4301
157	802	4279
158	804	4255
159	805	4231
160	806	4204
161	809	4188
162	811	4167
163	813	4145
164	814	4123
165	816	4104
166	818	4082
167	820	4061
168	821	4040
169	823	4021
170	825	4003
171	827	3982
172	828	3961
173	830	3941
174	832	3923
175	834	3908
176	836	3890
177	840	3879
178	841	3860
179	843	3840
180	844	3822
181	846	3805
182	848	3787
183	849	3768
184	851	3750
185	854	3739
186	856	3721
187	857	3703
188	858	3685
189	860	3667
190	861	3649
191	863	3633
192	864	3616
193	866	3599
194	867	3582
195	869	3566
196	871	3550
197	872	3534
198	874	3518
199	875	3503
200	877	3487
201	879	3472
202	880	3456
203	883	3449
204	885	3434
205	887	3420
206	888	3405
207	890	3391
208	892	3377
209	893	3362
210	895	3348
211	898	3338
212	899	3324
213	901	3310
214	902	3295
215	904	3281
216	905	3266
217	906	3252
218	908	3238
219	909	3224
220	910	3210
221	914	3203
222	915	3190
223	917	3177
224	918	3164
225	920	3151
226	921	3138
227	923	3125
228	924	3112
229	926	3100
230	929	3093
231	930	3080
232	932	3068
233	933	3056
234	935	3045
235	937	3033
236	938	3022
237	940	3011
238	943	3005
239	945	2994
240	947	2982
241	948	2971
242	950	2959
243	951	2948
244	953	2937
245	954	2926
246	956	2916
247	958	2905
248	959	2895
249	961	2884
250	963	2875
251	965	2864
252	966	2854
253	968	2843
254	969	2832
255	972	2826
256	974	2817
257	976	2806
258	977	2796
259	979	2786
260	980	2777
261	982	2766
262	983	2756
263	985	2748
264	987	2740
265	989	2731
266	991	2721
267	993	2712
268	995	2703
269	996	2695
270	998	2685
271	1001	2680
272	1003	2671
273	1004	2662
274	1006	2653
275	1008	2644
276	1009	2635
277	1011	2625
278	1012	2616
279	1014	2607
280	1018	2605
281	1020	2598
282	1022	2590
283	1023	2581
284	1025	2573
285	1027	2564
286	1028	2556
287	1032	2553
288	1034	2545
289	1036	2537
290	1037	2528
291	1039	2519
292	1040	2511
293	1042	2503
294	1044	2495
295	1047	2490
296	1048	2482
297	1050	2474
298	1051	2465
299	1053	2457
300	1054	2449
301	1056	2441
302	1058	2433
303	1059	2426
304	1062	2421
305	1064	2413
306	1065	2405
307	1067	2398
308	1068	2390
309	1070	2382
310	1071	2374
311	1073	2367
312	1075	2359
313	1077	2355
314	1079	2348
315	1081	2340
316	1083	2333
317	1084	2326
318	1086	2319
319	1088	2312
320	1089	2304
321	1092	2301
322	1094	2294
323	1096	2287
324	1097	2279
325	1099	2272
326	1100	2265
327	1102	2258
328	1103	2251
329	1105	2244
330	1108	2240
331	1110	2233
332	1111	2226
333	1113	2220
334	1115	2213
335	1116	2206
336	1118	2199
337	1119	2192
338	1123	2190
339	1124	2183
340	1126	2177
341	1128	2171
342	1130	2165
343	1132	2158
344	1133	2152
345	1138	2151
346	1139	2145
347	1141	2138
348	1142	2132
349	1144	2125
350	1146	2118
351	1147	2112
352	1149	2107
353	1153	2105
354	1155	2099
355	1157	2093
356	1159	2087
357	1160	2081
358	1162	2075
359	1164	2070
360	1168	2069
361	1171	2063
362	1173	2058
363	1175	2053
364	1177	2048
365	1187	2057
366	1202	2074
367	1204	2068
368	1206	2063
369	1208	2056
370	1209	2051
371	1211	2045
372	1213	2039
373	1216	2036
374	1218	2031
375	1220	2025
376	1222	2019
377	1223	2013
378	1225	2008
379	1227	2002
380	1230	1999
381	1232	1994
382	1234	1989
383	1236	1984
384	1239	1979
385	1241	1974
386	1242	1968
387	1246	1966
388	1248	1961
389	1250	1955
390	1252	1950
391	1254	1946
392	1256	1941
393	1259	1936
394	1264	1936
395	1267	1933
396	1269	1928
397	1271	1923
398	1273	1918
399	1277	1916
400	1279	1911
401	1281	1906
402	1284	1902
403	1286	1898
404	1288	1892
405	1290	1887
406	1295	1887
407	1297	1882
408	1299	1877
409	1301	1872
410	1303	1868
411	1305	1863
412	1309	1861
413	1312	1857
414	1315	1854
415	1317	1850
416	1320	1845
417	1325	1845
418	1327	1840
419	1329	1835
420	1332	1832
421	1334	1828
422	1336	1823
423	1341	1822
424	1343	1818
425	1350	1820
426	1352	1814
427	1354	1809
428	1357	1807
429	1359	1802
430	1363	1799
431	1365	1795
432	1376	1802
433	1379	1799
434	1381	1794
435	1383	1789
436	1389	1790
437	1391	1785
438	1396	1784
439	1399	1781
440	1404	1780
441	1407	1776
442	1408	1771
443	1412	1768
444	1413	1762
445	1418	1762
446	1425	1763
447	1427	1758
448	1429	1754
449	1435	1753
450	1437	1749
451	1439	1745
452	1440	1740
453	1442	1734
454	1444	1729
455	1450	1730
456	1453	1726
457	1456	1723
458	1458	1718
459	1459	1713
460	1465	1713
461	1467	1708
462	1469	1704
463	1471	1700
464	1474	1696
465	1479	1695
466	1482	1691
467	1484	1687
